V1	astrocyte_of_the_spinal_cord	cardiac_fibroblast	CD8-positive_xx_alpha-beta_T_cell	endothelial_cell_of_umbilical_vein	fibroblast_of_dermis	fibroblast_of_pulmonary_artery	fibroblast_of_skin_of_right_biceps	fibroblast_of_the_conjunctiva	glomerular_endothelial_cell	lung_microvascular_endothelial_cell	osteoblast	skeletal_muscle_myoblast	T-helper_17_cell
chr1_8130458_8130903	0.127	0.0937	0.055	0.0309	0.0315	0.052	0.0735	0.0662	0.068	0.032	0.019	0.1183	0.1115
chr1_8131775_8131925	0.0508	0.0321	0.0683	0.0563	0.0482	0.0452	0.0072	0.0286	0.026	0.0217	0.0378	0.0239	0.0903
chr1_10732275_10732425	0.0236	0.0183	0.056	0.2383	0.0165	0.0194	0.0128	0.0074	0.0263	0.2841	0.4417	0.012	0.0159
chr1_10732475_10732645	0.0045	0.009	0.0406	0.2067	0.0177	0.0295	0.0192	0.0073	0.0479	0.1875	0.4553	0.0096	0.0103
chr1_10852095_10852245	0.0338	0.0416	0.0397	0.0532	0.0102	0.0587	0.0197	0.0314	0.0718	0.0542	1	0.0308	0.0485
chr1_10925155_10925365	0.0424	0.0181	0.041	0.046	0.0405	0.0263	0.0338	0.0392	0.0129	0.0063	0.09	0.0172	0.0091
chr1_10965595_10965785	0.0606	0.0254	0.0442	0.0111	0.0387	0.0235	0.0116	0.0025	0.0042	0.0277	0.139	0.0299	0.0703
chr1_33722335_33723625	0.5422	0.249	0.6172	0.4543	0.1972	0.3181	0.2779	0.3422	0.2329	0.2895	0.848	0.1536	0.4351
chr1_33723635_33723908	0.0713	0.1258	0.1728	0.1867	0.1114	0.1013	0.0818	0.1358	0.0414	0.1763	0.8794	0.1207	0.0203
chr1_33829095_33829245	0.0482	0.0555	0.0306	0.0228	0.0581	0.0579	0.0183	0.0604	0.0627	0.0468	0.0331	0.0536	0.0244
chr1_33829603_33830118	0.8796	0.1994	0.0491	0.1314	0.1776	0.4936	0.4731	0.7528	0.0333	0.7031	0.0655	0.7978	0.0261
chr1_38495115_38496257	0.3529	0.2145	0.5038	0.5988	0.103	0.254	0.3538	0.249	0.3269	0.2645	0.5682	0.1296	0.7671
chr1_38560483_38560811	0.0367	0.0259	0.0712	0.036	0.0387	0.0279	0.0388	0.0967	0.0279	0.0439	0.0808	0.0283	0.0199
chr1_38561602_38561752	0.0134	0.0591	0.0825	0.0413	0.0352	0.05	0.0377	0.0362	0.0332	0.0492	0.1444	0.0153	0.0307
chr1_38627361_38627549	0.035	0.01	0.0082	0.1264	0.0636	0.0617	0.0151	0.0377	0.074	0.0414	0.0342	0.06	0.0252
chr1_38627916_38627936	0.0575	0.0331	0.0245	0.0254	0.0348	0.0083	0.0303	0.0667	0.0042	0.0115	0.0218	0.0258	0.0489
chr1_38657195_38657424	0.033	0.0414	0.0665	0.0597	0.0496	0.0265	0.007	0.0338	0.0167	0.0301	0.0739	0.0734	0.0036
chr1_38735686_38735990	0.0323	0.126	0.0371	0.038	0.0272	0.0888	0.0311	0.0431	0.0381	0.0394	0.0628	0.0574	0.0779
chr1_38736395_38736545	0.0357	0.0294	0.0624	0.0108	0.0209	0.0433	0.0617	0.0384	0.0042	0.0337	0.0579	0.0123	0.0857
chr1_38791885_38792106	0.0225	0.0261	0.0364	0.0203	0.0521	0.0488	0.0722	0.0371	0.0337	0.0529	0.0818	0.0714	0.0168
chr1_38793215_38793664	0.0877	0.0631	0.0412	0.0931	0.0602	0.0482	0.0738	0.0417	0.054	0.0574	0.0533	0.0881	0.0321
chr1_38802058_38802430	0.0172	0.0229	0.0269	0.0545	0.0266	0.0303	0.0431	0.0378	0.0156	0.0375	0.0261	0.071	0.0419
chr1_39292040_39292245	0.0748	0.0337	0.0371	0.1152	0.0909	0.0477	0.0804	0.0263	0.0423	0.0402	0.0308	0.1064	0.081
chr1_41711275_41711685	0.1858	0.1828	0.03	0.1141	0.0205	0.2247	0.1125	0.0181	0.0727	0.1484	0.1171	0.2079	0.0736
chr1_44500999_44501245	0.0477	0.053	0.1087	0.0427	0.097	0.0729	0.0673	0.0363	0.035	0.1167	0.1681	0.0785	0.0649
chr1_44990655_44990903	0.0396	0.103	0.0239	0.0611	0.0627	0.1072	0.0356	0.0196	0.0477	0.0132	0.0554	0.1881	0.0526
chr1_51006708_51006761	0.0748	0.0145	0.0397	0.0361	0.0439	0.0197	0.032	0.0626	0.0596	0.0042	0.0971	0.0278	0.0582
chr1_51034675_51034925	0.0574	0.0427	0.063	0.0323	0.014	0.0377	0.0191	0.0303	0.0522	0.0241	0.0096	0.0471	0.0449
chr1_51035725_51036145	1	0.0678	0.0099	0.0299	0.0605	0.0486	0.1065	0.038	0.0335	0.0241	0.0806	0.1441	0.0218
chr1_54924892_54925086	0.0508	0.0874	0.239	0.0851	0.2416	0.0926	0.167	0.0765	0.1011	0.1152	0.3239	0.0705	0.1913
chr1_54926095_54926385	0.0393	0.071	1	0.0448	0.0772	0.0349	0.0669	0.0312	0.0253	0.0522	0.0448	0.0382	1
chr1_54927515_54927665	0.0286	0.0261	0.1449	0.0495	0.0281	0.0539	0.0542	0.0764	0.0203	0.0688	0.4354	0.0308	0.0392
chr1_54928470_54928670	0.0344	0.0436	0.1488	0.1447	0.0355	0.0632	0.0721	0.0308	0.0671	0.0628	0.0437	0.0303	0.0359
chr1_54928798_54929565	0.0429	0.0659	0.1137	0.1724	0.0458	0.0925	0.0976	0.0583	0.1366	0.1063	0.1272	0.0341	0.0416
chr1_59522090_59522425	0.0709	0.1789	0.0638	0.0427	0.4935	0.2201	0.0494	0.4556	0.0306	0.1736	0.0183	0.0638	0.0172
chr1_59522915_59523325	1	1	0.0755	0.1297	1	1	1	1	0.1723	0.3904	0.3319	0.673	0.0498
chr1_59523476_59523490	0.0634	0.1475	0.0812	0.0568	0.1271	0.125	0.1332	0.4081	0.073	0.0984	0.0218	0.0666	0.0098
chr1_59523555_59523787	0.0811	0.3627	0.0646	0.0372	0.1693	0.1838	0.2624	0.7117	0.0376	0.0329	0.0457	0.0793	0.013
chr1_60105442_60105459	0.0883	0.0815	0.0271	0.0255	0.0185	0.0122	0.0288	0.0386	0.0211	0.0224	0.0368	0.0143	0.131
chr1_61086832_61087125	0.1248	0.0575	0.013	0.2817	0.0408	0.0812	0.0372	0.0544	0.0679	0.1186	0.0441	0.0371	0.0143
chr1_61087275_61087621	0.4201	0.2548	0.0107	1	0.092	0.6451	0.2189	0.1832	1	1	0.0361	0.109	0.0495
chr1_62045875_62046025	0.0753	0.0682	0.0559	0.0395	0.2332	0.0441	0.0286	0.0511	0.1098	0.0302	0.0527	0.0564	0.0633
chr1_62046195_62046371	0.044	0.0717	0.0448	0.042	0.0798	0.0227	0.0213	0.0354	0.0532	0.0246	0.0212	0.0177	0.0475
chr1_62053295_62053445	0.0311	0.0362	0.0238	0.0459	0.0369	0.0407	0.0372	0.0437	0.0167	0.0454	0.1605	0.0306	0.041
chr1_62055155_62055445	0.2025	0.092	0.0362	0.0478	0.0827	0.051	0.1191	0.2308	0.0113	0.0645	0.0345	0.0487	0.0174
chr1_63370375_63370525	0.0131	0.0301	0.01	0.0352	0.0679	0.0494	0.0426	0.0675	0.017	0.0232	0.0198	0.0073	0.0571
chr1_63443879_63444045	0.0731	0.07	0.0354	0.0203	0.0342	0.0235	0.0206	0.0519	0.0383	0.0748	0.0096	0.0272	0.0349
chr1_63464548_63464705	0.0425	0.0668	0.0077	0.0451	0.0393	0.0296	0.0171	0.0082	0.0651	0.0262	0.0631	0.0111	0.0115
chr1_82663855_82664005	0.0189	0.0207	0.0045	0.025	0.0197	0.0508	0.0207	0.0173	0.01	0.005	0.0096	0.0249	0.0149
chr1_83252855_83253573	0.0437	0.0476	0.0202	0.0774	0.0346	0.0534	0.0509	0.0199	0.0339	0.0275	0.0318	0.0253	0.0543
chr1_83345462_83345963	0.0501	0.0135	0.0276	0.1716	0.1681	0.0398	0.0556	0.0769	0.2686	0.0281	0.0234	0.0092	0.0648
chr1_83346168_83346650	0.0333	0.0523	0.0141	0.0436	0.024	0.0288	0.0162	0.029	0.0642	0.033	0.0096	0.0156	0.0639
chr16_80951515_80951638	0.0208	0.0311	0.0278	0.0441	0.0281	0.0622	0.0533	0.0673	0.0688	0.0545	0.0096	0.0114	0.0118
chr16_80381587_80381737	0.0584	0.0597	0.0088	0.0266	0.0588	0.0405	0.0241	0.0484	0.0042	0.0639	0.0416	0.0498	0.01
chr16_79933304_79933525	0.0238	0.0319	0.022	0.0155	0.0232	0.0303	0.0448	0.0339	0.0042	0.0287	0.053	0.0162	0.0106
chr16_79933655_79933805	0.0391	0.0506	0.0267	0.0401	0.0265	0.0629	0.0339	0.1073	0.1709	0.048	0.031	0.0518	0.0141
chr16_79644375_79644525	0.0088	0.0081	0.0746	0.0155	0.0167	0.0371	0.0527	0.0172	0.0998	0.0338	0.0971	0.0544	0.0403
chr16_79510878_79510900	0.04	0.02	0.0625	0.0628	0.0177	0.0481	0.0509	0.0187	0.0042	0.0437	0.0469	0.0549	0.1469
chr16_79511057_79511207	0.0045	0.024	0.057	0.0387	0.0447	0.0057	0.0213	0.0518	0.0109	0.071	0.0433	0.0388	0.084
